"Time","Event",""
"01:46.076","Valigarmanda 1 Burns  Varka Das'tral Tick  6876 (A: 14409) (U: 26607) (T: 180, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.80, M: 0.8, S: 207)--20% damage",""
"01:48.929","Valigarmanda 1 prepares  Mountain Fire  on  Fedrea Reed 56150 (U: 115535)--51% damage",""
"01:49.064","Multiple Enemies Combined DoTs  Varka Das'tral Tick  5830 (A: 14409) (U: 20239)",""
"01:49.064","Valigarmanda 1 Burns  Varka Das'tral Tick  5830 (A: 14409) (U: 25301) (T: 180, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.80, M: 0.8, S: 207)--20% damage",""
"01:49.109","Valigarmanda 1 Mountain Fire  Fedrea Reed 56150 (A: 24013) (U: 164945, M: 84782, 51.40%)",""
"01:49.109","Multiple Enemies Combined DoTs  Fedrea Reed Tick  13065 (U: 13065)",""
"01:49.109","Valigarmanda 1 Burns  Fedrea Reed Tick  13065 (U: 26664) (T: 235, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.49, M: 0.49, S: 271)--51% damage",""
"01:52.141","Multiple Enemies Combined DoTs  Fedrea Reed Tick  12787 (U: 12787)",""
"01:52.141","Valigarmanda 1 Burns  Fedrea Reed Tick  12787 (U: 26096) (T: 235, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.49, M: 0.49, S: 271)--51% damage",""
"01:53.970","Valigarmanda 1 prepares  Mountain Fire  on  Varka Das'tral 62145 (U: 129469)--52% damage",""
"01:54.148","Valigarmanda 1 Mountain Fire  Varka Das'tral 62145 (A: 14409) (U: 159488, M: 82934, 52.00%)",""
"01:55.084","Multiple Enemies Combined DoTs  Varka Das'tral Tick  (A: 9680)",""
"01:55.084","Valigarmanda 1 Burns  Varka Das'tral Tick  (A: 9680) (T: 211, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.48, M: 0.48, S: 243)--52% damage",""
"01:58.070","Multiple Enemies Combined DoTs  Varka Das'tral Tick  (A: 8647)",""
"01:58.070","Valigarmanda 1 Burns  Varka Das'tral Tick  (A: 8647) (T: 211, C: 25.6%, D: 0.0%, P/R: 1.00, G: 0.48, M: 0.48, S: 243)--52% damage",""
